Entrez ID 	Symbol 
1	A1BG
10005	ACOT8
100101467	ZSCAN30
100124534	SNORA84
100126346	MIR190B
100128788	SRRM2-AS1
100129482	ZNF37BP
100129842	ZNF737
100129858	SCOC-AS1
100129917	LOC100129917
100129961	CCNT2-AS1
100130581	LINC00910
100130691	LOC100130691
100130855	USP3-AS1
100131434	LINC00893
100131564	CCDC18-AS1
100132774	KDM4A-AS1
100133286	LOC100133286
100133315	LOC100133315
100133669	LY6E-DT
100144748	KLLN
100151684	RNU6ATAC
100271702	LINC00940
100271836	SMG1P3
100288122	LDLRAD4-AS1
100288181	LOC100288181
100288428	LMCD1-AS1
100288748	LOC100288748
100288911	LOC100288911
100289092	ATP2A1-AS1
100289341	MAN1B1-AS1
100289373	UBAC2-AS1
100289410	MCF2L-AS1
100289635	ZNF605
100302224	MIR2110
100302263	MIR1908
100302736	TMED7-TICAM2
100379224	LOC100379224
100499177	THAP9-AS1
100500908	MIR3613
100500914	MIR3610
100505495	PCAT19
100505641	FGD5-AS1
100506012	PPP5D1
100506023	LOC100506023
100506211	MIR210HG
100506581	C16orf95
100506660	DDX11-AS1
100506668	NRAV
100506714	NUP50-AS1
100506746	AFF1-AS1
100507250	LOC100507250
100507567	RAB11B-AS1
100526820	CAHM
100526837	EEF1E1-BLOC1S5
100528064	NEDD8-MDP1
100529211	TMEM256-PLSCR3
100529240	ZNF816-ZNF321P
100533106	ZHX1-C8orf76
100533182	SEC24B-AS1
100533184	ARHGAP19-SLIT1
100533975	SLMO2-ATP5E
10056	FARSB
10061	ABCF2
100616115	MIR4469
100616163	MIR4530
100616282	MIR4738
100616323	MIR4482
100628560	MIR3155B
10063	COX17
100630918	PARTICL
100652758	LOC100652758
100652772	NNT-AS1
10067	SCAMP3
100750325	RCAN3AS
100847022	MIR5093
100847049	MIR4999
100859921	LINC00536
100861555	LINC00565
100874042	HM13-AS1
10092	ARPC5
100996939	PYURF
10106	CTDSP2
101060200	ZNF891
10121	ACTR1A
10128	LRPPRC
10135	NAMPT
10139	ARFRP1
10156	RASA4
10158	PDZK1IP1
10162	LPCAT3
10165	SLC25A13
10172	ZNF256
10175	CNIH1
1019	CDK4
10198	MPHOSPH9
102	ADAM10
1020	CDK5
10210	TOPORS
10212	DDX39A
10236	HNRNPR
10237	SLC35B1
10253	SPRY2
10260	DENND4A
10270	AKAP8
10280	SIGMAR1
10294	DNAJA2
10311	DSCR3
10321	CRISP3
10328	EMC8
10330	CNPY2
10370	CITED2
1039	CDR2
10397	NDRG1
10419	PRMT5
10420	TESK2
10422	UBAC1
10443	N4BP2L2
10447	FAM3C
10469	TIMM44
10476	ATP5H
10478	SLC25A17
10490	VTI1B
10492	SYNCRIP
10512	SEMA3C
1052	CEBPD
10525	HYOU1
10555	AGPAT2
10560	SLC19A2
10565	ARFGEF1
10566	AKAP3
10577	NPC2
10588	MTHFS
10608	MXD4
10623	POLR3C
10625	IVNS1ABP
10637	LEFTY1
10641	NPRL2
10672	GNA13
1070	CETN3
10717	AP4B1
10720	UGT2B11
10736	SIX2
10755	GIPC1
10765	KDM5B
10766	TOB2
10767	HBS1L
10799	RPP40
10808	HSPH1
10817	FRS3
10845	CLPX
10902	BRD8
10907	TXNL4A
10921	RNPS1
10922	FASTK
10960	LMAN2
10966	RAB40B
10969	EBNA1BP2
10971	YWHAQ
10983	CCNI
10984	KCNQ1OT1
10994	ILVBL
11016	ATF7
11018	TMED1
11020	IFT27
11022	TDRKH
11067	DEPP1
11070	TMEM115
1108	CHD4
11108	PRDM4
11112	HIBADH
11124	FAF1
11128	POLR3A
11133	KPTN
11152	WDR45
11161	ERG28
11164	NUDT5
11165	NUDT3
1119	CHKA
1120	CHKB
11216	AKAP10
11234	HPS5
11235	PDCD10
11237	RNF24
11264	PXMP4
11276	SYNRG
112840	WDR89
112849	L3HYPDH
1130	LYST
11316	COPE
11329	STK38
11331	PHB2
11332	ACOT7
11333	PDAP1
11337	GABARAP
114038	LINC00313
114134	SLC2A13
114825	PWWP2A
114876	OSBPL1A
115209	OMA1
1154	CISH
115939	TSR3
116064	LRRC58
1161	ERCC8
116143	WDR92
116412	ZNF837
117178	SSX2IP
1175	AP2S1
1186	CLCN7
118932	ANKRD22
119559	SFXN4
120227	CYP2R1
121227	LRIG3
121274	ZNF641
123096	SLC25A29
123283	TARSL2
123803	NTAN1
123811	FOPNL
124401	ANKS3
124454	EARS2
124491	TMEM170A
124935	SLC43A2
125058	TBC1D16
125150	ZSWIM7
125476	INO80C
125893	ZNF816
1259	CNGA1
125950	RAVER1
125972	CALR3
125988	C19orf70
126014	OSCAR
126119	JOSD2
126208	ZNF787
126308	MOB3A
126328	NDUFA11
126393	HSPB6
126661	CCDC163
126695	KDF1
128338	DRAM2
128637	TBC1D20
129138	ANKRD54
129303	TMEM150A
129642	MBOAT2
129787	TMEM18
130355	C2orf76
130502	TTC32
131118	DNAJC19
131474	CHCHD4
131566	DCBLD2
131578	LRRC15
1316	KLF6
131601	TPRA1
132660	LIN54
132989	C4orf36
133686	NADK2
133957	CCDC127
134121	C5orf49
134359	POC5
134492	NUDCD2
1347	COX7A2
1365	CLDN3
136647	MPLKIP
138151	NACC2
1384	CRAT
1398	CRK
140680	C20orf96
1407	CRY1
140838	NANP
140893	RBBP8NL
143098	MPP7
143384	CACUL1
143570	XRRA1
143666	LOC143666
143884	CWF19L2
144501	KRT80
1453	CSNK1D
145407	C14orf37
145438	FRMD6-AS1
145748	LYSMD4
146057	TTBK2
146059	CDAN1
1465	CSRP1
146691	TOM1L2
146705	TEPSIN
146712	B3GNTL1
147015	DHRS13
147727	ILF3-AS1
147929	ZNF565
147948	ZNF582
148156	ZNF558
148189	LINC00662
148266	ZNF569
148789	B3GALNT2
150082	LCA5L
150159	SLC9B1
150737	TTC30B
151011	43353
151525	WDSUB1
151648	SGO1
152006	RNF38
152110	NEK10
152518	NFXL1
152789	JAKMIP1
152926	PPM1K
153020	RASGEF1B
1534	CYB561
155054	ZNF425
157574	FBXO16
157638	FAM84B
157657	C8orf37
158427	TSTD2
159	ADSS
159013	CXorf38
1600	DAB1
1611	DAP
161829	EXD1
1628	DBP
162968	ZNF497
162989	DEDD2
163050	ZNF564
163051	ZNF709
163059	ZNF433
1632	ECI1
163486	DENND1B
163786	SASS6
163859	SDE2
1649	DDIT3
1655	DDX5
1676	DFFA
168451	THAP5
171586	ABHD3
1717	DHCR7
1742	DLG4
1839	HBEGF
1841	DTYMK
1843	DUSP1
1848	DUSP6
1889	ECE1
1890	TYMP
1907	EDN2
1912	PHC2
1915	EEF1A1
1936	EEF1D
1948	EFNB2
195828	ZNF367
196294	IMMP1L
196441	ZFC3H1
196483	EEF2KMT
196951	FAM227B
1992	SERPINB1
199745	THAP8
200014	CC2D1B
200186	CRTC2
201254	CENPX
201283	AMZ2P1
201294	UNC13D
201456	FBXO15
201562	HACD2
201725	C4orf46
201798	TIGD4
201895	SMIM14
202051	SPATA24
202151	RANBP3L
2023	ENO1
2029	ENSA
202915	TMEM184A
203062	TSNARE1
203228	C9orf72
203245	NAIF1
2037	EPB41L2
205717	USF3
2059	EPS8
21	ABCA3
2119	ETV5
2135	EXTL2
2146	EZH2
2176	FANCC
219347	TMEM254-AS1
2194	FASN
219402	MTIF3
219541	MED19
219743	TYSND1
219854	TMEM218
219988	PATL1
220064	ORAOV1
220388	CCDC89
220980	TMEM72-AS1
221496	LEMD2
222235	FBXL13
222236	NAPEPLD
222659	PXT1
2232	FDXR
2260	FGFR1
